Make,Model,Price,Year,Kilometer,Number of Owners,Engine (CC),Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Honda,Amaze 1.2 VX i-VTEC,505000,2017,87150,1,1198,3990,1680,1505,5,35
Maruti Suzuki,Swift DZire VDI,450000,2014,75000,2,1248,3995,1695,1555,5,42
Hyundai,i10 Magna 1.2 Kappa2,220000,2011,67000,1,1197,3585,1595,1550,5,35
Toyota,Glanza G,799000,2019,37500,1,1197,3995,1745,1510,5,37
Toyota,Innova 2.4 VX 7 STR [2016-2020],1950000,2018,69000,1,2393,4735,1830,1795,7,55
Maruti Suzuki,Ciaz ZXi,675000,2017,73315,1,1373,4490,1730,1485,5,43
BMW,X1 xDrive20d M Sport,2650000,2017,75000,2,1995,4439,1821,1612,5,51
Skoda,Octavia 1.8 TSI Style Plus AT [2017],1390000,2017,56000,1,1798,4670,1814,1476,5,50
Nissan,Terrano XL (D),575000,2015,85000,1,1461,4331,1822,1671,5,50
Hyundai,Elite i20 Sportz 1.2,591000,2017,20281,1,1197,3985,1734,1505,5,45
Renault,Kwid 1.0 RXT [2016-2019],459999,2018,22541,1,999 ,3679,1579,1478,5,28
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],1075000,2019,30672,1,1462,4490,1730,1485,5,43
Tata,Harrier XZ [2019-2020],1695000,2019,20856,1,1956,4598,1894,1706,5,50
Volkswagen,Polo GT TSI,944999,2017,41417,1,1197,3971,1682,1469,5,45
Maruti Suzuki,Celerio ZXi AMT [2019-2020],569000,2016,11471,1,998 ,3695,1600,1560,5,35
Maruti Suzuki,Alto 800 LXi (O),449000,2019,3583,1,796 ,3445,1515,1475,5,35
Maruti Suzuki,Baleno Alpha Automatic,894999,2018,21365,1,1197,3995,1745,1510,5,37
Maruti Suzuki,Wagon R ZXi 1.2 AMT,699000,2020,30777,1,1197,3655,1620,1675,5,32
Hyundai,Creta 1.6 E Petrol,740000,2016,60125,1,1591,4270,1780,1630,5,60
Maruti Suzuki,S-Presso VXi AMT,470000,2020,2169,1,998 ,3565,1520,1564,5,27
Volkswagen,Vento Comfortline Petrol AT,765000,2015,60240,1,1197,4384,1699,1466,5,55
Hyundai,Santro Sportz AMT [2018-2020],589000,2018,13772,1,1086,3610,1645,1560,5,35
Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],999000,2019,27464,1,998 ,3995,1770,1605,5,45
Maruti Suzuki,Alto LXi CNG,370000,2019,47377,1,998 ,3545,1490,1475,4,60
Maruti Suzuki,Ritz Zxi BS-IV,325000,2013,23086,1,1197,3775,1680,1620,5,43
Hyundai,Creta 1.6 SX Plus Petrol,1175000,2019,36313,1,1591,4270,1780,1630,5,60
Honda,Brio V MT,351000,2014,39276,1,1198,3610,1680,1500,5,35
Hyundai,Elite i20 Asta 1.2,551000,2015,47752,1,1197,3985,1734,1505,5,45
Honda,WR-V VX MT Petrol,819999,2018,27963,1,1199,3999,1734,1601,5,40
Hyundai,Venue SX 1.0 Turbo iMT,990000,2020,24013,1,998 ,3995,1770,1605,5,45
Hyundai,Creta 1.6 SX Plus AT,925000,2016,66000,1,1582,4270,1780,1630,5,60
Ford,Ecosport Titanium+ 1.0L EcoBoost,535000,2015,28000,1,999 ,3999,1765,1708,5,52
Hyundai,Santro GL (CNG),145000,2009,72000,2,1086,3565,1525,1590,5,35
Tata,Tiago Revotron XE [2016-2019],409000,2018,27069,1,1199,3746,1647,1535,5,35
Tata,Tigor Revotorq XT,490000,2018,43000,1,1047,3992,1677,1537,5,35
Toyota,Innova 2.4 G 8 STR [2016-2017],1900000,2019,71000,1,2393,4735,1830,1795,8,55
Mercedes-Benz,GLC 220 d Progressive,3850000,2017,45600,2,2143,4656,1890,1639,5,66
Hyundai,Creta SX 1.6 CRDi (O),1125000,2018,60000,1,1582,4270,1780,1665,5,55
Mercedes-Benz,M-Class ML 250 CDI,2300000,2014,105101,1,2143,4804,2141,1796,5,70
Toyota,Corolla Altis VL AT Petrol,1095000,2016,45000,1,1798,4620,1775,1475,5,55
Audi,A4 2.0 TDI (177bhp) Premium Plus,1575000,2013,66000,1,1968,4701,1826,1427,5,63
Mercedes-Benz,SLK-Class SLK 200 K,2400000,2010,34105,1,1796,4082,1777,1297,2,70
Hyundai,Elite i20 Asta 1.2,525000,2015,68397,1,1197,3985,1734,1505,5,45
Mahindra,Thar CRDe 4x4 AC,625000,2015,65000,2,2498,3920,1726,1930,6,60
Maruti Suzuki,Baleno Delta 1.2,605000,2019,27469,1,1197,3995,1745,1500,5,37
Maruti Suzuki,Celerio VXi AMT,412000,2016,41058,1,998 ,3600,1600,1560,5,35
Maruti Suzuki,Ciaz VDi SHVS,625000,2016,51330,1,1248,4490,1730,1485,5,43
Maruti Suzuki,Ciaz VXi,511000,2015,45969,1,1373,4490,1730,1485,5,43
Hyundai,Creta SX Plus 1.6 AT CRDI,1150000,2017,66602,1,1582,4270,1780,1630,5,60
Hyundai,Creta SX Plus 1.6  Petrol,885000,2016,57983,1,1591,4270,1780,1630,5,60
Renault,Kwid 1.0 RXT AMT Opt,470000,2019,11183,1,999 ,3679,1579,1478,5,28
MG,Hector Sharp 2.0 Diesel [2019-2020],1611000,2019,46301,1,1956,4655,1835,1760,5,60
Tata,Tiago Revotron XZA [2017-2019],475000,2017,34867,2,1199,3746,1647,1535,5,35
Toyota,Innova 2.5 GX BS IV 7 STR,865000,2015,43634,1,2494,4585,1765,1760,7,55
BMW,X3 xDrive 20d Luxury Line [2018-2020],3800000,2018,9512,1,1995,4657,1881,1678,5,67
Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,2475000,2020,11293,1,1956,4395,1818,1640,5,60
Mahindra,Scorpio SLE BS-IV,400000,2014,78000,2,2179,4430,1817,1975,8,60
Honda,Brio S MT,440000,2016,50374,1,1198,3610,1680,1500,5,35
BMW,3-Series 320i Luxury Line,2800000,2017,15900,1,1998,4633,1811,1429,5,57
Honda,City V Petrol [2017-2019],645000,2017,64000,1,1497,4440,1695,1495,5,40
Volkswagen,Polo Highline1.2L (D),365000,2013,78000,1,1199,3970,1682,1453,5,45
Maruti Suzuki,Vitara Brezza ZXi Plus,1044999,2021,24000,1,1462,3995,1790,1640,5,48
Maruti Suzuki,Eeco 7 STR [2019-2020],515000,2019,40310,2,1196,3675,1475,1800,7,40
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],455000,2015,69700,1,1197,3765,1660,1520,5,43
BMW,X3 xDrive20d,1800000,2012,74073,1,1995,4648,1881,1661,5,67
Toyota,Fortuner 2.8 4x2 AT [2016-2020],3499000,2019,73000,1,2755,4795,1855,1835,7,80
Honda,Civic 1.8S MT,190000,2006,130000,3,1799,4545,1750,1450,5,50
Maruti Suzuki,Swift ZXi Plus AMT,775000,2021,24000,1,1197,3845,1735,1530,5,37
Hyundai,Elite i20 Sportz 1.5 MT Diesel,825000,2021,43000,1,1493,3995,1775,1505,5,37
Audi,A3 35 TDI Technology + Sunroof,2250000,2016,40500,1,1968,4456,1796,1416,5,50
Honda,City V CVT Petrol [2017-2019],865000,2017,49013,1,1497,4440,1695,1495,5,40
Ford,Figo Duratorq Diesel Titanium 1.4,299000,2013,64983,1,1399,3795,1680,1427,5,45
Honda,Jazz VX Petrol,570000,2017,92270,1,1199,3955,1694,1544,5,40
Volkswagen,Polo Highline1.2L (P),385000,2013,65000,1,1198,3970,1682,1453,5,45
Honda,Amaze 1.5 SX i-DTEC,350000,2014,110000,1,1498,3990,1680,1505,5,35
Toyota,Camry 2.5L AT,2345000,2017,47000,1,2494,4825,1825,1480,5,70
Mahindra,Thar LX 4-STR Hard Top Petrol AT,1650000,2022,10000,1,1997,3985,1820,1844,4,57
Mercedes-Benz,C-Class 250 CDI Elegance,1100000,2011,51500,2,2143,4596,1770,1447,5,66
Audi,Q3 35 TDI quattro Premium Plus,2900000,2018,35000,1,1968,4385,1831,1608,5,64
Maruti Suzuki,Baleno Sigma 1.2,545000,2017,61518,1,1197,3995,1745,1500,5,37
BMW,X1 sDrive20d xLine,2990000,2018,34000,1,1995,4454,2044,1545,5,63
Maruti Suzuki,Baleno Zeta 1.2,615000,2017,36058,1,1197,3995,1745,1500,5,37
Hyundai,Creta 1.6 SX Plus AT,890000,2016,88000,1,1582,4270,1780,1630,5,60
Volkswagen,Vento Comfortline Petrol,430000,2015,98112,1,1598,4384,1699,1466,5,55
Mercedes-Benz,C-Class 220 BlueEfficiency,1650000,2013,58000,1,2143,4596,1770,1447,5,66
Toyota,Camry Hybrid,1599000,2015,92355,1,2494,4825,1825,1480,5,65
Maruti Suzuki,DZire VXi,691000,2019,16652,1,1197,3995,1735,1515,5,37
Nissan,Terrano XV D THP 110 PS,650000,2016,76584,1,1461,4331,1822,1671,5,50
Maruti Suzuki,Wagon R LXI CNG,415000,2015,42500,1,998 ,3599,1495,1700,5,35
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],669000,2016,70000,1,1248,3995,1790,1640,5,48
Porsche,Cayenne Coupe Platinum Edition,16200000,2022,2766,1,2995,4931,1983,1676,4,75
Mercedes-Benz,C-Class Cabriolet C 300,5100000,2017,56000,2,1991,4686,1810,1409,4,59
Hyundai,Elite i20 Magna 1.2,525000,2015,68766,1,1197,3985,1734,1505,5,45
Hyundai,Verna 1.6 VTVT SX,750000,2018,16339,1,1591,4375,1700,1475,5,43
